Date,Hour,ModelName,Total,Pass,UPH,Total1,Pass1
2021-10-15,0,W2Q12-60001,423,423,423,423,423
2021-10-15,1,W2Q12-60001,311,311,316,311,311
2021-10-15,2,W2Q12-60001,266,266,266,266,266
2021-10-15,3,W2Q12-60001,291,291,294,291,291
2021-10-15,4,W2Q12-60001,277,277,278,277,277
2021-10-15,5,W2Q12-60001,154,154,156,154,154
2021-10-15,6,W2Q12-60001,192,192,197,192,192
2021-10-15,7,W2Q12-60001,279,279,280,279,279
2021-10-15,8,W2Q12-60001,253,253,267,253,253
2021-10-15,9,W2Q12-60001,368,368,370,368,368
2021-10-15,10,W2Q12-60001,366,366,389,366,366
2021-10-15,11,W2Q12-60001,184,184,184,184,184
2021-10-15,12,W2Q12-60001,301,301,321,301,301
2021-10-15,13,W2Q12-60001,275,275,276,275,275
2021-10-15,14,W2Q12-60001,343,343,361,343,343
2021-10-15,15,W2Q12-60001,214,214,217,214,214
2021-10-15,16,W2Q12-60001,259,259,261,259,259
2021-10-15,17,w2q13-60001,32,32,239,32,32
2021-10-15,18,,0,0,0,0,0
2021-10-15,19,,0,0,0,0,0
2021-10-15,20,T6B59-60001,234,234,235,234,234
2021-10-15,21,T6B59-60001,134,134,135,134,134
2021-10-15,22,g3q63-60001,243,243,244,243,243
2021-10-15,23,g3q63-60001,67,67,406,67,67
